=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OK1
分析時間: 2025-07-18 14:37:02
圖片數量: 181

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=145.71, 標準差=8.82
  G通道: 均值=173.03, 標準差=6.06
  B通道: 均值=142.77, 標準差=7.21

HSV特徵:
  飽和度: 均值=54.10, 標準差=9.47
  亮度: 均值=173.81, 標準差=5.96
  主導色調: 均值=104.18°, 標準差=17.58°

色彩豐富度指數: 均值=44.46, 標準差=3.35

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
165_3_roi.png,151.83,186.02,141.94,68.20,186.31,88.00,38.78,395720
166_3_roi.png,153.77,169.06,152.89,35.08,170.54,92.00,44.28,395720
167_3_roi.png,157.07,178.45,149.79,48.16,179.38,92.00,44.89,395720
168_3_roi.png,135.40,170.49,133.42,65.63,171.08,106.00,45.37,395720
169_3_roi.png,157.16,184.55,139.21,65.94,184.90,92.00,39.20,395720
16_3_roi.png,149.63,176.71,140.69,58.94,177.24,92.00,45.43,395720
170_3_roi.png,142.22,166.09,148.24,42.04,167.18,160.00,45.97,395720
171_3_roi.png,135.72,169.94,130.68,67.57,170.51,102.00,48.08,395720
172_3_roi.png,150.21,181.11,145.56,57.94,181.64,100.00,41.38,395720
173_3_roi.png,151.65,177.09,146.55,51.40,177.88,92.00,49.57,395720
174_3_roi.png,151.84,176.27,144.19,52.76,176.90,92.00,41.55,395720
175_3_roi.png,137.62,168.77,130.61,65.92,169.32,98.00,48.05,395720
176_3_roi.png,135.36,167.52,137.53,56.40,168.08,110.00,41.45,395720
177_3_roi.png,154.40,178.39,141.83,57.44,179.08,92.00,46.69,395720
178_3_roi.png,138.67,168.92,142.43,51.99,169.43,110.00,47.02,395720
179_3_roi.png,136.30,170.06,134.40,61.75,170.51,110.00,42.71,395720
17_3_roi.png,153.99,171.96,154.71,39.04,174.00,92.00,49.73,395720
180_3_roi.png,136.92,171.11,134.25,63.32,171.57,106.00,46.53,395720
18_3_roi.png,142.86,166.30,151.15,40.16,167.66,160.00,44.31,395720
19_3_roi.png,153.84,180.93,144.17,57.73,181.51,92.00,43.85,395720
1_3_roi.png,134.49,170.92,134.10,63.75,171.33,110.00,45.01,395720
20_3_roi.png,149.77,184.20,136.11,72.32,184.48,92.00,37.76,395720
21_3_roi.png,150.59,179.84,144.84,57.61,180.24,92.00,41.94,395720
22_3_roi.png,137.43,170.23,135.92,60.72,170.83,106.00,49.32,395720
23_3_roi.png,136.56,170.48,130.74,66.23,170.79,98.00,41.17,395720
24_3_roi.png,154.37,172.10,152.71,41.93,174.37,92.00,49.51,395720
25_3_roi.png,136.65,169.81,130.38,67.00,170.21,102.00,45.38,395720
26_3_roi.png,134.99,166.35,129.82,63.83,166.83,106.00,42.92,395720
27_3_roi.png,134.95,169.98,128.43,69.64,170.42,102.00,53.39,395720
28_3_roi.png,137.74,169.22,139.80,56.23,169.84,110.00,50.82,395720
29_3_roi.png,157.06,177.54,145.50,51.63,178.27,88.00,45.52,395720
2_3_roi.png,133.81,167.57,131.17,63.64,168.03,110.00,47.53,395720
30_3_roi.png,133.12,168.55,133.89,63.25,168.94,110.00,43.72,395720
31_3_roi.png,154.96,173.20,153.68,40.28,174.93,92.00,49.78,395720
32_3_roi.png,153.66,169.59,154.28,36.46,171.76,92.00,45.20,395720
33_3_roi.png,156.24,177.58,144.98,52.65,178.27,92.00,46.26,395720
34_3_roi.png,156.51,181.09,141.17,60.99,181.61,92.00,45.44,395720
35_3_roi.png,151.37,181.14,143.23,59.32,181.71,92.00,40.22,395720
36_3_roi.png,139.29,170.82,126.86,70.92,171.15,98.00,47.27,395720
37_3_roi.png,154.32,178.89,142.40,58.08,179.66,92.00,46.50,395720
38_3_roi.png,153.39,170.89,157.50,36.64,173.20,92.00,45.00,395720
39_3_roi.png,136.56,166.85,139.08,54.60,167.68,106.00,50.55,395720
3_3_roi.png,154.20,182.07,148.87,53.86,182.58,100.00,43.25,395720
40_3_roi.png,139.13,170.47,132.71,63.12,170.89,102.00,45.96,395720
41_3_roi.png,156.63,176.96,146.46,50.47,177.81,92.00,48.60,395720
42_3_roi.png,154.48,174.07,149.26,44.47,175.22,92.00,46.18,395720
43_3_roi.png,142.88,164.67,146.62,40.23,165.80,110.00,46.36,395720
44_3_roi.png,137.45,168.33,139.72,55.44,168.82,110.00,40.29,395720
45_3_roi.png,154.60,167.40,156.15,31.36,169.81,86.00,44.18,395720
46_3_roi.png,158.73,174.97,146.87,46.54,175.77,86.00,46.99,395720
47_3_roi.png,154.38,174.72,148.40,46.24,175.64,92.00,46.34,395720
48_3_roi.png,133.68,166.61,133.42,60.93,167.05,106.00,43.47,395720
