=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: NG2
分析時間: 2025-07-18 14:48:27
圖片數量: 24

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=100.02, 標準差=7.45
  G通道: 均值=118.25, 標準差=6.47
  B通道: 均值=116.64, 標準差=5.93

HSV特徵:
  飽和度: 均值=49.60, 標準差=6.41
  亮度: 均值=123.19, 標準差=6.44
  主導色調: 均值=180.75°, 標準差=29.49°

色彩豐富度指數: 均值=50.01, 標準差=3.70

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
0_4_roi.png,108.72,127.54,115.43,50.89,130.22,94.00,48.23,283712
10_4_roi.png,99.93,112.48,114.99,39.71,118.11,180.00,46.75,283712
11_4_roi.png,89.85,112.21,108.24,57.04,115.82,180.00,46.99,283712
12_4_roi.png,87.40,106.28,104.41,52.52,110.10,180.00,48.60,283712
13_4_roi.png,94.61,118.16,112.87,56.55,121.47,180.00,45.83,283712
14_4_roi.png,94.95,121.41,113.39,61.41,124.62,196.00,42.58,283712
15_4_roi.png,107.73,122.72,126.18,44.45,129.87,196.00,50.09,283712
16_4_roi.png,116.77,129.90,133.43,41.29,137.79,240.00,58.69,283712
17_4_roi.png,111.92,132.14,114.60,54.83,134.30,94.00,48.02,283712
18_4_roi.png,96.27,119.23,118.02,57.66,124.35,196.00,51.61,283712
19_4_roi.png,101.31,114.54,117.48,40.00,120.33,180.00,51.84,283712
1_4_roi.png,96.59,112.70,114.98,46.57,118.32,196.00,50.74,283712
20_4_roi.png,115.43,127.34,121.87,39.06,131.50,180.00,49.55,283712
21_4_roi.png,96.47,111.45,113.73,44.64,117.08,180.00,48.56,283712
22_4_roi.png,95.43,111.57,114.72,47.63,117.43,196.00,49.53,283712
23_4_roi.png,104.03,119.76,120.39,45.56,126.05,180.00,50.53,283712
2_4_roi.png,97.52,123.46,116.56,59.47,126.62,166.00,42.56,283712
3_4_roi.png,102.80,122.22,121.81,51.31,127.93,196.00,53.50,283712
4_4_roi.png,101.10,117.59,120.95,47.36,124.05,196.00,55.27,283712
5_4_roi.png,99.37,118.70,119.10,50.24,124.12,196.00,54.46,283712
6_4_roi.png,98.60,114.97,117.45,46.89,120.62,180.00,55.09,283711
7_4_roi.png,97.70,116.96,116.35,50.57,121.78,180.00,49.95,283712
8_4_roi.png,96.38,112.32,116.08,46.84,118.53,196.00,51.16,283712
9_4_roi.png,89.73,112.28,106.36,57.91,115.46,180.00,50.10,283712
