=== 五彩鋅電鍍色彩分析報告 ===
批次標籤: OK2
分析時間: 2025-07-18 14:46:20
圖片數量: 181

=== 統計摘要 ===
RGB平均值:
  R通道: 均值=106.73, 標準差=5.72
  G通道: 均值=127.77, 標準差=5.14
  B通道: 均值=111.91, 標準差=3.94

HSV特徵:
  飽和度: 均值=50.70, 標準差=7.12
  亮度: 均值=129.43, 標準差=4.74
  主導色調: 均值=123.52°, 標準差=27.00°

色彩豐富度指數: 均值=43.41, 標準差=3.71

=== 詳細數據 ===
檔名,R均值,G均值,B均值,飽和度,亮度,主導色調,色彩豐富度,有效像素數
165_4_roi.png,109.26,136.29,111.74,61.41,136.72,100.00,32.57,283712
166_4_roi.png,111.91,126.41,116.32,38.46,128.75,96.00,47.89,283712
167_4_roi.png,113.77,133.40,113.73,49.61,134.55,100.00,42.92,283712
168_4_roi.png,98.39,123.74,105.15,59.72,125.32,110.00,43.17,283712
169_4_roi.png,112.90,134.94,108.37,58.09,135.75,100.00,39.96,283712
16_4_roi.png,109.17,131.87,110.25,56.18,133.09,100.00,44.13,283712
170_4_roi.png,106.25,121.89,118.26,39.80,125.45,160.00,50.45,283712
171_4_roi.png,98.08,124.77,102.69,62.17,125.91,110.00,43.09,283712
172_4_roi.png,110.46,134.52,115.80,54.42,135.69,110.00,46.82,283712
173_4_roi.png,111.34,131.48,115.23,47.85,133.23,100.00,45.30,283712
174_4_roi.png,109.67,131.89,110.82,53.73,132.93,100.00,43.21,283712
175_4_roi.png,99.55,123.71,104.38,58.33,125.07,110.00,46.23,283712
176_4_roi.png,101.44,123.41,111.14,50.36,125.12,160.00,46.04,283712
177_4_roi.png,112.38,134.06,109.76,55.73,135.04,100.00,41.28,283712
178_4_roi.png,103.32,123.39,113.71,46.80,125.68,160.00,45.91,283712
179_4_roi.png,100.86,124.96,108.80,55.03,126.29,138.00,46.86,283712
17_4_roi.png,113.81,129.07,118.31,39.92,131.84,100.00,50.69,283712
180_4_roi.png,99.80,124.61,106.16,56.74,125.84,138.00,41.63,283712
18_4_roi.png,105.49,120.38,117.07,38.36,123.89,160.00,43.65,283712
19_4_roi.png,111.26,134.10,110.90,55.49,135.07,100.00,39.74,283712
1_4_roi.png,100.94,125.65,109.26,55.53,127.17,138.00,45.97,283712
20_4_roi.png,109.89,135.84,109.60,62.67,136.53,100.00,36.76,283712
21_4_roi.png,110.16,134.40,113.57,56.10,135.57,100.00,42.58,283712
22_4_roi.png,100.47,123.45,107.72,53.58,125.05,138.00,41.17,283712
23_4_roi.png,100.07,126.26,105.73,60.90,127.54,110.00,45.69,283712
24_4_roi.png,114.98,130.29,119.34,42.62,133.60,100.00,51.56,283712
25_4_roi.png,99.69,125.42,105.68,60.04,126.79,110.00,47.99,283712
26_4_roi.png,97.57,121.72,102.30,57.57,122.72,118.00,41.75,283712
27_4_roi.png,100.15,125.46,106.05,59.17,126.94,110.00,50.92,283712
28_4_roi.png,102.08,123.10,112.19,48.37,125.01,160.00,46.66,283712
29_4_roi.png,114.88,133.55,111.49,50.72,134.48,96.00,39.58,283712
2_4_roi.png,98.74,122.17,106.30,54.49,123.54,138.00,44.99,283712
30_4_roi.png,99.78,124.11,109.52,56.05,125.88,138.00,47.23,283712
31_4_roi.png,114.22,130.28,119.40,40.89,132.93,102.00,50.62,283712
32_4_roi.png,113.19,127.19,117.43,37.74,129.87,96.00,47.81,283712
33_4_roi.png,112.96,132.35,110.59,52.06,133.49,96.00,43.56,283712
34_4_roi.png,113.23,134.68,108.38,58.04,135.64,100.00,42.20,283712
35_4_roi.png,111.38,135.13,113.31,54.91,136.08,100.00,40.62,283712
36_4_roi.png,100.49,127.32,100.79,65.90,128.31,110.00,45.95,283712
37_4_roi.png,112.50,133.97,110.14,55.12,134.98,100.00,41.39,283712
38_4_roi.png,111.26,126.73,118.95,39.45,129.77,202.00,44.78,283712
39_4_roi.png,102.42,122.34,112.47,46.68,124.56,160.00,46.74,283712
3_4_roi.png,112.39,135.48,115.77,52.35,136.70,110.00,42.14,283712
40_4_roi.png,101.19,125.82,105.38,57.74,126.99,110.00,47.52,283712
41_4_roi.png,113.82,132.58,112.62,50.69,134.09,96.00,49.94,283712
42_4_roi.png,111.80,129.65,112.14,46.14,130.92,96.00,41.57,283712
43_4_roi.png,105.53,120.29,114.57,38.20,123.09,160.00,47.49,283712
44_4_roi.png,98.40,121.16,107.96,52.60,122.72,138.00,37.46,283712
45_4_roi.png,113.16,125.59,118.10,34.54,128.38,96.00,41.87,283712
46_4_roi.png,114.22,129.78,111.57,46.48,131.29,96.00,46.35,283712
47_4_roi.png,111.42,128.98,113.12,44.81,130.55,102.00,42.48,283712
48_4_roi.png,99.93,123.22,109.14,54.09,124.99,138.00,45.86,283712
49_4_roi.png,111.97,128.43,116.06,43.02,130.61,102.00,47.21,283712
4_4_roi.png,101.04,125.42,110.59,55.57,127.33,138.00,48.52,283712
50_4_roi.png,111.48,127.36,113.64,42.04,129.20,96.00,46.14,283712
51_4_roi.png,104.85,122.42,114.02,42.64,125.02,160.00,44.91,283712
52_4_roi.png,113.93,131.60,116.91,44.61,133.43,102.00,45.71,283712
53_4_roi.png,105.39,122.13,115.52,41.31,124.93,160.00,46.37,283712
54_4_roi.png,112.66,135.68,112.53,55.48,136.68,100.00,43.26,283712
55_4_roi.png,100.66,126.60,106.97,58.22,127.64,118.00,43.01,283712
56_4_roi.png,99.13,129.14,116.31,61.27,130.48,150.00,39.42,283712
57_4_roi.png,115.96,133.76,115.72,47.01,135.38,96.00,47.42,283712
58_4_roi.png,98.23,123.85,106.32,57.72,125.19,138.00,44.72,283712
59_4_roi.png,104.58,122.10,116.06,41.63,124.78,160.00,45.81,283712
5_4_roi.png,111.04,134.10,110.27,57.67,135.05,100.00,41.45,283712
60_4_roi.png,109.33,130.41,111.62,52.26,131.74,100.00,45.20,283712
61_4_roi.png,110.75,134.25,109.31,57.48,134.93,100.00,37.77,283712
62_4_roi.png,111.78,132.76,109.89,54.00,133.79,100.00,45.24,283712
63_4_roi.png,112.93,135.82,113.37,55.67,137.09,100.00,44.03,283712
64_4_roi.png,101.50,123.59,110.17,50.82,125.12,138.00,46.30,283712
65_4_roi.png,105.73,123.32,117.81,41.82,126.41,160.00,53.74,283712
66_4_roi.png,101.20,122.04,113.65,48.32,124.49,160.00,40.85,283712
67_4_roi.png,113.76,130.20,116.52,42.97,132.06,96.00,45.06,283712
68_4_roi.png,109.68,130.16,110.05,51.11,131.23,100.00,39.61,283712
69_4_roi.png,110.93,124.27,117.04,34.88,126.90,160.00,38.99,283712
6_4_roi.png,103.05,120.73,112.47,42.89,123.08,160.00,38.52,283712
70_4_roi.png,101.36,124.46,110.93,52.37,126.26,138.00,45.46,283712
71_4_roi.png,97.14,122.81,105.30,59.05,124.12,138.00,43.52,283712
72_4_roi.png,104.38,122.25,116.67,42.50,125.05,160.00,49.49,283712
73_4_roi.png,113.00,131.86,116.29,45.94,133.97,100.00,46.92,283712
74_4_roi.png,112.90,127.82,117.69,38.90,130.25,96.00,45.85,283712
75_4_roi.png,103.20,120.79,114.60,42.92,123.50,160.00,43.90,283712
76_4_roi.png,101.71,124.23,111.80,51.69,126.10,160.00,44.28,283712
77_4_roi.png,100.33,121.86,108.72,51.23,123.50,138.00,45.44,283712
78_4_roi.png,109.25,129.34,113.30,47.48,130.72,110.00,43.89,283712
79_4_roi.png,111.23,132.28,112.14,52.96,133.83,100.00,49.34,283712
7_4_roi.png,113.61,131.78,114.23,46.66,133.18,100.00,44.47,283712
80_4_roi.png,111.18,130.12,112.65,48.14,131.58,100.00,44.41,283712
81_4_roi.png,101.10,125.33,108.64,54.99,126.68,138.00,42.72,283712
82_4_roi.png,109.90,134.07,111.84,55.30,134.88,100.00,37.08,283712
83_4_roi.png,113.04,130.70,113.42,48.29,132.55,96.00,50.91,283712
84_4_roi.png,114.11,133.77,110.08,56.08,134.95,92.00,47.88,283712
85_4_roi.png,101.46,126.10,116.45,53.67,128.16,160.00,45.48,283712
86_4_roi.png,100.93,123.33,111.17,51.97,125.37,138.00,46.59,283712
87_4_roi.png,101.07,124.10,109.70,52.82,125.85,138.00,44.82,283712
88_4_roi.png,98.06,125.37,104.32,62.83,126.60,110.00,43.37,283712
89_4_roi.png,105.83,120.81,116.63,38.15,124.28,160.00,43.66,283712
8_4_roi.png,112.90,132.07,113.78,47.90,133.39,100.00,42.86,283712
90_4_roi.png,110.27,134.06,112.98,54.22,134.90,100.00,36.08,283712
91_4_roi.png,102.65,122.64,113.44,47.38,125.08,160.00,44.95,283712
92_4_roi.png,113.46,127.34,118.44,36.57,129.64,96.00,40.69,283712
93_4_roi.png,103.70,121.77,111.50,43.63,123.78,160.00,44.06,283712
94_4_roi.png,98.23,125.65,105.15,61.05,126.54,118.00,39.23,283712
95_4_roi.png,103.71,121.00,114.21,41.03,123.31,160.00,43.61,283712
96_4_roi.png,114.33,129.01,114.07,41.94,131.02,96.00,43.11,283712
97_4_roi.png,113.43,129.91,122.57,39.56,132.88,160.00,47.89,283712
98_4_roi.png,97.72,122.43,104.28,57.96,123.72,118.00,40.62,283712
99_4_roi.png,98.55,124.92,104.36,60.00,126.06,118.00,42.64,283712
9_4_roi.png,112.18,131.88,109.37,53.74,133.13,100.00,43.04,283712
