==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,84,5,SC,4
1,84,5,INP,1
2,71,18,SC,1
2,71,18,NULL_invalid,17
3,88,1,OTP,1
4,88,1,OTP,1

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,OK,0.00,-581.21
1,OK,OK,0.00,-571.32
2,OK,OK,0.00,-577.11
3,OK,OK,0.00,-366.70
4,OK,OK,0.00,-593.07
5,OK,OK,0.00,-609.86
6,NG,OTP,0.57,-3946.89
7,OK,SC,0.00,-601.03
8,OK,OK,0.00,-605.68
9,OK,OK,0.00,-605.42
10,OK,OK,0.00,-246.78
11,OK,OK,0.00,-585.89
12,OK,OK,0.00,-610.31
13,OK,OK,0.00,-604.48
14,OK,OK,0.00,-608.41
15,OK,INP,0.00,-609.58
16,OK,OK,0.00,-599.91
17,OK,OK,0.00,-563.95
18,OK,INP,0.00,-561.26
19,OK,OK,0.00,-540.12
20,OK,OK,0.00,-590.98
21,OK,OK,0.00,-307.65
22,OK,OK,0.00,-563.75
23,OK,OK,0.00,-610.20
24,OK,OK,0.00,-592.25
25,OK,OK,0.00,-567.46
26,OK,INP,0.00,-606.15
27,OK,OK,0.00,-583.80
28,OK,OK,0.00,-305.59
29,OK,OK,0.00,-563.99
30,OK,OK,0.00,-565.27
31,OK,OK,0.00,-608.14
32,OK,OK,0.00,-277.70
33,OK,OK,0.00,-609.76
34,OK,OK,0.00,-601.85
35,OK,OK,0.00,-595.44
36,OK,OK,0.00,-560.42
37,OK,OK,0.00,-361.71
38,OK,OK,0.00,-598.40
39,OK,OK,0.00,-613.72
40,NG,OTP,0.73,-3975.07
41,OK,INP,0.00,1743.91
42,OK,INP,0.00,1493.40
43,OK,OK,0.00,3050.68
44,OK,OK,0.00,2674.49
45,OK,OK,0.00,2317.20
46,OK,OK,0.00,2044.12
47,OK,SC,0.00,1610.57
48,OK,OK,0.00,1328.52
49,NG,SC,0.64,-2789.79
50,OK,OK,0.00,320.15
51,OK,OK,0.00,-607.67
52,NG,SC,0.74,-3987.68
53,NG,SC,0.87,-3956.43
54,OK,OK,0.00,-580.24
55,OK,OK,0.00,-558.44
56,OK,OK,0.00,-557.65
57,OK,OK,0.00,-590.43
58,OK,OK,0.00,-582.56
59,OK,OK,0.00,-598.33
60,OK,OK,0.00,-598.59
61,OK,OK,0.00,-586.94
62,OK,INP,0.00,-577.52
63,OK,OK,0.00,-565.91
64,OK,OK,0.00,-565.52
65,NG,INP,0.69,-3937.89
66,OK,OK,0.00,-424.19
67,OK,OK,0.00,-591.68
68,OK,OK,0.00,-593.92
69,OK,OK,0.00,-594.32
70,OK,NULL_invalid,1.00,-593.90
71,OK,NULL_invalid,1.00,-591.80
72,OK,NULL_invalid,1.00,-393.19
73,OK,NULL_invalid,1.00,-599.21
74,OK,NULL_invalid,1.00,-581.21
75,OK,OK,0.00,-582.24
76,OK,NULL_invalid,1.00,-332.98
77,OK,NULL_invalid,1.00,-429.54
78,OK,NULL_invalid,1.00,-585.59
79,OK,NULL_invalid,1.00,-596.38
80,OK,NULL_invalid,1.00,-592.61
81,OK,NULL_invalid,1.00,-594.17
82,OK,NULL_invalid,1.00,-554.43
83,OK,NULL_invalid,1.00,-587.34
84,OK,NULL_invalid,1.00,-580.97
85,OK,NULL_invalid,1.00,-577.79
86,OK,NULL_invalid,1.00,-469.61
87,OK,OK,0.00,-570.94
88,OK,NULL_invalid,1.00,-564.08

==== 總體統計 ====
總樣品數,89
OK數量,83
NG數量,6
不良率(%),6.74

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,3,0.50
OTP,2,0.33
INP,1,0.17

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
OK,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
