==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,bp,0.78
1,NG,bp,0.90
2,NG,outsc,0.91
3,NG,dirty,0.86
4,NG,dirty,0.82
5,NG,dirty,0.92
6,NG,dirty,0.85
7,NG,dirty,0.90
8,NG,dirty,0.85
9,NG,outsc,0.90
10,NG,dirty,0.87
11,NG,dirty,0.90
12,NG,dirty,0.87
13,NG,dirty,0.87
14,NG,dirty,0.88
15,NG,bp,0.83
16,NG,dirty,0.88
17,NG,dirty,0.88
18,NG,outsc,0.90
19,NG,bp,0.84
20,NG,dirty,0.91
21,NG,bp,0.85
22,NG,dirty,0.86
23,NG,dirty,0.87
24,NG,outsc,0.90
25,NG,dirty,0.79
26,NG,bp,0.85
27,NG,dirty,0.92
28,NG,bp,0.85
29,NG,bp,0.91
30,NG,dirty,0.86
31,NG,outsc,0.86
32,NG,dirty,0.89
33,NG,outsc,0.88
34,NG,dirty,0.86
35,NG,outsc,0.84
36,NG,dirty,0.91
37,NG,dirty,0.84
38,NG,dirty,0.85
39,NG,bp,0.86
40,NG,outsc,0.90
41,NG,dirty,0.86
42,NG,dirty,0.85
43,NG,dirty,0.88
44,NG,dirty,0.84
45,NG,dirty,0.90
46,NG,bp,0.82
47,NG,dirty,0.89
48,NG,dirty,0.88
49,NG,dirty,0.90
50,NG,bp,0.84
51,NG,outsc,0.81
52,NG,dirty,0.87
53,NG,dirty,0.84
54,NG,dirty,0.83
55,NG,bp,0.88
56,NG,bp,0.80
57,NG,dirty,0.88
58,NG,outsc,0.87
59,NG,dirty,0.81
60,NG,dirty,0.90
61,NG,dirty,0.84
62,NG,dirty,0.90
63,NG,dirty,0.81
64,NG,dirty,0.88
65,NG,dirty,0.91
66,NG,dirty,0.89
67,NG,dirty,0.85
68,NG,outsc,0.84
69,NG,dirty,0.89
70,NG,bp,0.87
71,NG,dirty,0.86
72,NG,bp,0.88
73,NG,dirty,0.80
74,NG,dirty,0.91
75,NG,dirty,0.87
76,NG,dirty,0.88
77,NG,bp,0.83
78,NG,dirty,0.90
79,NG,bp,0.84
80,NG,dirty,0.86
81,NG,dirty,0.83
82,NG,bp,0.81
83,NG,outsc,0.84
84,NG,bp,0.84
85,NG,dirty,0.87
86,NG,bp,0.87
87,NG,wr,0.92
88,NG,dirty,0.89
89,NG,dirty,0.89
90,NG,dirty,0.86
91,NG,outsc,0.91
92,NG,dirty,0.88
93,NG,outsc,0.83
94,NG,dirty,0.87
95,NG,bp,0.88
96,NG,dirty,0.90
97,NG,bp,0.79
98,NG,dirty,0.87
99,NG,dirty,0.87
100,NG,dirty,0.88
101,NG,dirty,0.87
102,NG,dirty,0.91
103,NG,dirty,0.87
104,NG,dirty,0.83
105,NG,dirty,0.87
106,NG,outsc,0.90
107,NG,dirty,0.86
108,NG,dirty,0.86
109,NG,dirty,0.89
110,NG,dirty,0.85
111,NG,dirty,0.85
112,NG,NULL_TIMEOUT,1.00
113,NG,dirty,0.85
114,NG,bp,0.86
115,NG,dirty,0.93
116,NG,dirty,0.87
117,NG,dirty,0.88
118,NG,outsc,0.90
119,NG,dirty,0.84
120,NG,dirty,0.87
121,NG,dirty,0.88
122,NG,dirty,0.91
123,NG,dirty,0.86
124,NG,dirty,0.86
125,NG,dirty,0.89
126,NG,dirty,0.87
127,NG,dirty,0.88
128,NG,dirty,0.87
129,NG,dirty,0.80
130,NG,bp,0.91
131,NG,dirty,0.89
132,NG,dirty,0.85
133,NG,dirty,0.86
134,NG,dirty,0.89
135,NG,dirty,0.83
136,NG,dirty,0.89
137,NG,dirty,0.81
138,NG,dirty,0.87
139,NG,dirty,0.90
140,NG,dirty,0.92
141,NG,dirty,0.86
142,NG,dirty,0.89
143,NG,dirty,0.87
144,NG,dirty,0.86
145,NG,dirty,0.83
146,NG,dirty,0.85
147,NG,dirty,0.84
148,NG,dirty,0.88
149,NG,bp,0.83
150,NG,dirty,0.87
151,NG,bp,0.85
152,NG,dirty,0.86
153,NG,dirty,0.88
154,NG,dirty,0.86
155,NG,dirty,0.88
156,NG,dirty,0.87
157,NG,dirty,0.92
158,NG,dirty,0.90
159,NG,dirty,0.88
160,NG,dirty,0.90
161,NG,dirty,0.86
162,NG,dirty,0.82
163,NG,dirty,0.85
164,NG,dirty,0.83
165,NG,dirty,0.87
166,NG,bp,0.82
167,NG,bp,0.80
168,NG,bp,0.72
169,NG,dirty,0.90
170,NG,bp,0.84
171,NG,bp,0.87
172,NG,dirty,0.84
173,NG,dirty,0.86
174,NG,NULL_TIMEOUT,1.00
175,NG,dirty,0.89
176,NG,bp,0.86
177,NG,dirty,0.86
178,NG,dirty,0.86
179,NG,bp,0.88
180,NG,dirty,0.91
181,NG,dirty,0.84
182,NG,dirty,0.87
183,NG,dirty,0.82
184,NG,outsc,0.88
185,NG,dirty,0.88
186,NG,dirty,0.87
187,NG,dirty,0.88
188,NG,dirty,0.79
189,NG,dirty,0.82
190,NG,dirty,0.85
191,NG,dirty,0.86
192,NG,dirty,0.86
193,NG,outsc,0.89
194,NG,dirty,0.90
195,NG,dirty,0.90
196,NG,dirty,0.87
197,NG,dirty,0.87
198,NG,dirty,0.91
199,NG,bp,0.87
200,NG,dirty,0.87
201,NG,dirty,0.88
202,NG,dirty,0.83
203,NG,dirty,0.81
