==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,106,20,bp,7
1,106,20,SC,13
2,76,50,bp,37
2,76,50,SC,11
2,76,50,WP,1
2,76,50,deform,1
3,120,6,outsc,6
4,63,63,outsc,63

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,NG,bp,0.63,177.50
1,NG,bp,0.83,-554.19
2,OK,bp,0.45,2539.41
3,NG,bp,0.61,-1961.93
4,OK,bp,0.42,108.40
5,NG,outsc,0.54,-3554.51
6,NG,bp,0.63,-3956.28
7,NG,outsc,0.73,-3897.82
8,OK,bp,0.46,-585.71
9,OK,OK,0.00,-590.08
10,OK,bp,0.46,-544.47
11,NG,SC,0.65,-3893.19
12,NG,outsc,0.66,-3835.11
13,NG,bp,0.59,-3834.88
14,OK,outsc,0.43,-525.97
15,NG,bp,0.59,-3919.25
16,OK,bp,0.45,-524.15
17,NG,outsc,0.77,-3795.76
18,NG,outsc,0.63,-3912.89
19,NG,bp,0.69,-3953.30
20,OK,bp,0.49,-563.78
21,OK,outsc,0.46,-530.96
22,NG,bp,0.57,-3891.96
23,NG,SC,0.69,-3889.53
24,NG,outsc,0.87,-3892.55
25,NG,outsc,0.82,-3919.16
26,NG,outsc,0.63,-3892.66
27,NG,outsc,0.74,-3883.84
28,NG,outsc,0.74,-3808.82
29,NG,bp,0.57,-3955.42
30,NG,outsc,0.77,-3910.30
31,NG,outsc,0.72,-3895.98
32,OK,OK,0.00,-575.19
33,NG,outsc,0.81,-3899.59
34,OK,OK,0.00,-557.55
35,NG,outsc,0.60,-3887.10
36,NG,outsc,0.55,-3909.10
37,NG,outsc,0.58,-3926.82
38,NG,outsc,0.83,-3756.23
39,NG,bp,0.53,-3944.54
40,NG,outsc,0.67,-3905.89
41,OK,SC,0.49,-580.49
42,NG,outsc,0.63,-3899.15
43,NG,outsc,0.86,-3900.16
44,NG,outsc,0.84,-3818.40
45,NG,SC,0.67,-3951.91
46,NG,outsc,0.53,-3912.81
47,NG,outsc,0.87,-3957.49
48,NG,outsc,0.85,-3923.02
49,NG,outsc,0.64,-3912.27
50,NG,outsc,0.64,-3904.28
51,NG,bp,0.54,-3924.53
52,OK,outsc,0.42,-568.16
53,NG,outsc,0.72,-3898.71
54,NG,bp,0.51,-3902.93
55,OK,outsc,0.33,-519.77
56,NG,bp,0.52,-3908.67
57,NG,outsc,0.85,-3822.11
58,NG,bp,0.55,-3873.77
59,OK,SC,0.43,-566.27
60,NG,outsc,0.72,-3914.63
61,NG,outsc,0.74,-3876.93
62,OK,outsc,0.50,-553.42
63,NG,bp,0.67,-3898.69
64,OK,bp,0.36,-584.64
65,OK,bp,0.44,-590.10
66,NG,outsc,0.56,-3920.72
67,OK,OK,0.00,-578.07
68,OK,bp,0.48,-528.48
69,NG,SC,0.80,-3922.22
70,NG,outsc,0.67,-3876.00
71,NG,outsc,0.76,-3903.37
72,NG,outsc,0.89,-3843.39
73,NG,bp,0.52,-3912.78
74,NG,SC,0.79,-3754.08
75,NG,outsc,0.72,-3938.28
76,NG,outsc,0.76,-3941.79
77,NG,SC,0.53,-3953.51
78,NG,bp,0.72,-3908.85
79,OK,OK,0.00,-573.59
80,NG,bp,0.61,-3894.37
81,OK,outsc,0.43,-545.17
82,NG,bp,0.67,-3957.36
83,NG,outsc,0.64,-3916.00
84,NG,bp,0.71,-3951.25
85,NG,outsc,0.63,-3901.06
86,OK,WP,0.31,-362.66
87,OK,bp,0.39,-586.46
88,NG,SC,0.77,-3930.85
89,NG,SC,0.67,-3924.48
90,OK,bp,0.41,-526.72
91,NG,bp,0.82,-3883.94
92,NG,outsc,0.77,-3909.09
93,NG,bp,0.51,-3897.07
94,NG,SC,0.75,-3880.33
95,NG,outsc,0.79,-3865.27
96,NG,outsc,0.60,-3747.42
97,NG,deform,1.00,-3932.29
98,OK,SC,0.47,-566.57
99,NG,outsc,0.54,-3933.78
100,NG,outsc,0.81,-3838.66
101,NG,outsc,0.84,-3863.24
102,NG,bp,0.56,-3924.22
103,NG,SC,0.76,-3931.88
104,NG,SC,0.82,-3960.30
105,NG,outsc,0.84,-3901.50
106,OK,bp,0.39,-579.63
107,OK,SC,0.40,-536.21
108,OK,SC,0.29,-567.56
109,OK,bp,0.48,-535.61
110,NG,outsc,0.74,-3879.89
111,NG,outsc,0.85,-3880.92
112,NG,outsc,0.71,-3647.91
113,NG,outsc,0.55,-1893.17
114,NG,outsc,0.74,-726.14
115,NG,outsc,0.59,-1767.83
116,NG,outsc,0.84,-2383.56
117,NG,SC,0.75,-3710.49
118,NG,outsc,0.86,-3896.01
119,OK,outsc,0.46,-550.45
120,NG,outsc,0.53,-3908.07
121,NG,SC,0.55,-3937.86
122,NG,outsc,0.59,-3929.38
123,NG,outsc,0.88,-3904.40
124,NG,outsc,0.82,-3867.29
125,NG,outsc,0.77,-3894.74

==== 總體統計 ====
總樣品數,126
OK數量,31
NG數量,95
不良率(%),75.40

==== 瑕疵統計 ====
瑕疵類型,數量,比例
outsc,58,0.61
bp,23,0.24
SC,13,0.14
deform,1,0.01

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
bp,36,0.36,0.83,0.55,0.39,0.46,0.54,0.63,0.82,0.83,0.50
outsc,65,0.33,0.89,0.69,0.43,0.59,0.72,0.81,0.87,0.89,0.50
OK,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SC,18,0.29,0.82,0.63,0.29,0.49,0.67,0.76,0.82,0.82,0.49
WP,1,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
deform,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
bp,0.00,1.00,1.00,0.64,0.78
bp,0.05,1.00,1.00,0.64,0.78
bp,0.10,1.00,1.00,0.64,0.78
bp,0.15,1.00,1.00,0.64,0.78
bp,0.20,1.00,1.00,0.64,0.78
bp,0.25,1.00,1.00,0.64,0.78
bp,0.30,1.00,1.00,0.64,0.78
bp,0.35,1.00,1.00,0.64,0.78
bp,0.40,1.00,0.77,0.72,0.82
bp,0.45,1.00,0.46,0.83,0.88
bp,0.50,1.00,0.00,1.00,1.00
bp,0.55,0.70,0.00,0.81,0.82
bp,0.60,0.48,0.00,0.67,0.65
bp,0.65,0.30,0.00,0.56,0.47
bp,0.70,0.17,0.00,0.47,0.30
bp,0.75,0.09,0.00,0.42,0.16
bp,0.80,0.09,0.00,0.42,0.16
bp,0.85,0.00,0.00,0.36,0.00
bp,0.90,0.00,0.00,0.36,0.00
bp,0.95,0.00,0.00,0.36,0.00
outsc,0.00,1.00,1.00,0.89,0.94
outsc,0.05,1.00,1.00,0.89,0.94
outsc,0.10,1.00,1.00,0.89,0.94
outsc,0.15,1.00,1.00,0.89,0.94
outsc,0.20,1.00,1.00,0.89,0.94
outsc,0.25,1.00,1.00,0.89,0.94
outsc,0.30,1.00,1.00,0.89,0.94
outsc,0.35,1.00,0.86,0.91,0.95
outsc,0.40,1.00,0.86,0.91,0.95
outsc,0.45,1.00,0.43,0.95,0.97
outsc,0.50,1.00,0.00,1.00,1.00
outsc,0.55,0.93,0.00,0.94,0.96
outsc,0.60,0.81,0.00,0.83,0.90
outsc,0.65,0.67,0.00,0.71,0.80
outsc,0.70,0.62,0.00,0.66,0.77
outsc,0.75,0.43,0.00,0.49,0.60
outsc,0.80,0.31,0.00,0.38,0.47
outsc,0.85,0.12,0.00,0.22,0.22
outsc,0.90,0.00,0.00,0.11,0.00
outsc,0.95,0.00,0.00,0.11,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
bp,0.50,23,0,13,0,1.00,1.00,1.00
outsc,0.50,58,0,7,0,1.00,1.00,1.00
OK,0.00,0,5,0,0,0.00,0.00,0.00
SC,0.49,13,0,5,0,1.00,1.00,1.00
WP,0.31,0,1,0,0,0.00,0.00,0.00
deform,0.00,1,0,0,0,1.00,1.00,0.00
