==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,71,5,SC,5
2,76,0,無,0
3,75,1,OTP,1
4,72,4,OTP,4

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,OK,0.00,-609.76
1,NG,SC,0.71,-3984.30
2,NG,OTP,0.56,-3966.62
3,OK,OK,0.00,-589.25
4,OK,OK,0.00,-574.30
5,OK,OK,0.00,1482.08
6,OK,OK,0.00,-401.62
7,OK,OK,0.00,15721.01
8,OK,OK,0.00,-579.55
9,OK,OK,0.00,-536.07
10,OK,OK,0.00,-367.74
11,OK,OK,0.00,-607.32
12,OK,INP,0.00,-601.83
13,OK,OK,0.00,-605.32
14,OK,OK,0.00,-589.96
15,OK,OK,0.00,-588.41
16,OK,OK,0.00,-602.05
17,NG,SC,0.55,-3986.98
18,OK,OK,0.00,-606.02
19,NG,OTP,0.65,-3982.40
20,OK,OK,0.00,-612.43
21,OK,OK,0.00,-587.78
22,OK,OK,0.00,-155.35
23,OK,OK,0.00,168.34
24,OK,OK,0.00,1228.96
25,OK,OK,0.00,1419.23
26,OK,OK,0.00,2654.91
27,OK,OK,0.00,2365.46
28,OK,OK,0.00,2394.71
29,OK,OK,0.00,2346.57
30,OK,OK,0.00,2705.75
31,NG,OTP,0.56,-971.98
32,OK,OK,0.00,2859.77
33,OK,OK,0.00,2814.18
34,OK,INP,0.00,2648.30
35,OK,OK,0.00,2684.60
36,OK,OK,0.00,2690.28
37,OK,OK,0.00,2662.40
38,NG,OTP,0.56,-763.34
39,OK,OK,0.00,2603.28
40,OK,OK,0.00,2656.47
41,NG,SC,0.60,-730.72
42,OK,OK,0.00,2630.92
43,OK,OK,0.00,2609.28
44,OK,OK,0.00,3091.66
45,OK,SC,0.00,2997.81
46,OK,OK,0.00,2990.63
47,OK,OK,0.00,2977.54
48,OK,OK,0.00,2939.49
49,OK,OK,0.00,3444.46
50,NG,SC,0.57,87.54
51,OK,OK,0.00,3522.55
52,OK,OK,0.00,4197.79
53,OK,OK,0.00,4358.09
54,OK,OK,0.00,4333.50
55,OK,OK,0.00,4551.55
56,OK,OK,0.00,4498.82
57,OK,OK,0.00,4702.38
58,NG,OTP,0.56,1437.34
59,OK,OK,0.00,4784.94
60,OK,OK,0.00,5238.48
61,OK,OK,0.00,5273.28
62,OK,OK,0.00,5281.20
63,OK,OK,0.00,5424.43
64,OK,OK,0.00,5937.81
65,OK,OK,0.00,5767.59
66,OK,OK,0.00,5913.00
67,OK,OK,0.00,5942.75
68,OK,INP,0.00,5912.70
69,OK,INP,0.00,5845.84
70,OK,OK,0.00,6648.64
71,NG,SC,0.67,3842.84
72,OK,OK,0.00,8165.08
73,OK,OK,0.00,8641.28
74,OK,OK,0.00,8934.75
75,OK,OK,0.00,27117.15

==== 總體統計 ====
總樣品數,76
OK數量,66
NG數量,10
不良率(%),13.16

==== 瑕疵統計 ====
瑕疵類型,數量,比例
SC,5,0.50
OTP,5,0.50

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
OK,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SC,6,0.00,0.71,0.52,0.00,0.55,0.58,0.67,0.71,0.71,0.01
OTP,5,0.56,0.65,0.58,0.56,0.56,0.56,0.56,0.65,0.65,0.00
INP,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
OK,0.00,0.00,1.00,0.00,0.00
OK,0.05,0.00,0.00,1.00,0.00
OK,0.10,0.00,0.00,1.00,0.00
OK,0.15,0.00,0.00,1.00,0.00
OK,0.20,0.00,0.00,1.00,0.00
OK,0.25,0.00,0.00,1.00,0.00
OK,0.30,0.00,0.00,1.00,0.00
OK,0.35,0.00,0.00,1.00,0.00
OK,0.40,0.00,0.00,1.00,0.00
OK,0.45,0.00,0.00,1.00,0.00
OK,0.50,0.00,0.00,1.00,0.00
OK,0.55,0.00,0.00,1.00,0.00
OK,0.60,0.00,0.00,1.00,0.00
OK,0.65,0.00,0.00,1.00,0.00
OK,0.70,0.00,0.00,1.00,0.00
OK,0.75,0.00,0.00,1.00,0.00
OK,0.80,0.00,0.00,1.00,0.00
OK,0.85,0.00,0.00,1.00,0.00
OK,0.90,0.00,0.00,1.00,0.00
OK,0.95,0.00,0.00,1.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
OK,0.00,0,61,0,0,0.00,0.00,0.00
SC,0.01,5,0,1,0,1.00,1.00,1.00
OTP,0.00,5,0,0,0,1.00,1.00,0.00
INP,0.00,0,4,0,0,0.00,0.00,0.00
