==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,OK,-,-
1,OK,-,-
2,OK,-,-
3,OK,-,-
4,NG,outsc,0.83
5,NG,deform,1.00
6,NG,outsc,0.76
7,NG,outsc,0.81
8,OK,-,-
9,OK,-,-
10,OK,-,-
11,OK,-,-
12,NG,outsc,0.77
13,NG,outsc,0.80
14,NG,dirty,0.71
15,NG,dirty,0.63
16,OK,-,-
17,OK,-,-
18,NG,deform,1.00
19,NG,outsc,0.67
20,NG,outsc,0.80
21,NG,outsc,0.60
22,OK,-,-
23,NG,dirty,0.72
24,NG,outsc,0.63
25,OK,-,-
26,OK,-,-
27,NG,outsc,0.80
28,NG,outsc,0.70
29,OK,-,-
30,OK,-,-
31,NG,outsc,0.81
32,OK,-,-
33,OK,-,-
34,NG,outsc,0.82
35,OK,-,-
36,OK,-,-
37,OK,-,-
38,OK,-,-
39,NG,outsc,0.89
40,NG,dirty,0.55
41,OK,-,-
42,NG,outsc,0.78
43,NG,outsc,0.85
44,NG,dirty,0.73
45,OK,-,-
46,OK,-,-
47,OK,-,-
48,OK,-,-
49,NG,outsc,0.70
50,OK,-,-
51,OK,-,-
52,OK,-,-
53,NG,outsc,0.62
54,NG,outsc,0.56
55,OK,-,-
56,OK,-,-
57,OK,-,-
58,OK,-,-
59,NG,outsc,0.69
60,OK,-,-
61,NG,outsc,0.75
62,OK,-,-
63,OK,-,-
64,OK,-,-
65,NG,outsc,0.64
66,NG,deform,1.00
67,OK,-,-
68,OK,-,-
69,OK,-,-
70,NG,outsc,0.59
71,OK,-,-
72,NG,dirty,0.50
73,NG,outsc,0.78
74,OK,-,-
75,NG,outsc,0.87
76,OK,-,-
77,OK,-,-
78,OK,-,-
79,OK,-,-
80,NG,dirty,0.74
81,OK,-,-
82,NG,outsc,0.54
83,OK,-,-
84,OK,-,-
85,OK,-,-
86,NG,outsc,0.87
87,OK,-,-
88,OK,-,-
89,NG,outsc,0.92
90,OK,-,-
91,OK,-,-
92,OK,-,-
93,OK,-,-
94,OK,-,-

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
outsc,28,0.54,0.92,0.74,0.77,0.89,0.92,0.00
deform,3,1.00,1.00,1.00,1.00,1.00,1.00,0.00
dirty,7,0.50,0.74,0.65,0.71,0.74,0.74,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
outsc,0.00,1.00,0.00,1.00,1.00
outsc,0.05,1.00,0.00,1.00,1.00
outsc,0.10,1.00,0.00,1.00,1.00
outsc,0.15,1.00,0.00,1.00,1.00
outsc,0.20,1.00,0.00,1.00,1.00
outsc,0.25,1.00,0.00,1.00,1.00
outsc,0.30,1.00,0.00,1.00,1.00
outsc,0.35,1.00,0.00,1.00,1.00
outsc,0.40,1.00,0.00,1.00,1.00
outsc,0.45,1.00,0.00,1.00,1.00
outsc,0.50,1.00,0.00,1.00,1.00
outsc,0.55,0.96,0.00,0.96,0.98
outsc,0.60,0.89,0.00,0.89,0.94
outsc,0.65,0.75,0.00,0.75,0.86
outsc,0.70,0.68,0.00,0.68,0.81
outsc,0.75,0.61,0.00,0.61,0.76
outsc,0.80,0.39,0.00,0.39,0.56
outsc,0.85,0.14,0.00,0.14,0.25
outsc,0.90,0.04,0.00,0.04,0.07
outsc,0.95,0.00,0.00,0.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
outsc,0.00,28,0,0,0,1.00,1.00,0.00
deform,0.00,3,0,0,0,1.00,1.00,0.00
dirty,0.00,7,0,0,0,1.00,1.00,0.00
