==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,202,108,bp,11
1,202,108,SC,91
1,202,108,WP,5
1,202,108,deform,1
2,202,108,bp,55
2,202,108,SC,47
2,202,108,WP,6
3,92,218,outsc,218
4,121,189,outsc,189

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,NG,outsc,0.84,201.10
1,NG,outsc,0.87,23.78
2,NG,outsc,0.76,131.24
3,NG,outsc,0.87,-100.90
4,NG,outsc,0.90,-233.40
5,NG,outsc,0.87,-263.66
6,NG,outsc,0.80,-462.77
7,NG,SC,0.80,-757.42
8,NG,outsc,0.85,-1426.41
9,NG,SC,0.74,-1657.30
10,NG,outsc,0.82,-2213.07
11,NG,outsc,0.88,-2994.56
12,NG,outsc,0.84,-3939.87
13,NG,outsc,0.76,-3932.89
14,NG,SC,0.75,-3927.56
15,NG,SC,0.67,-3924.37
16,NG,SC,0.71,-3769.48
17,NG,outsc,0.82,-3611.92
18,NG,outsc,0.82,-3828.42
19,NG,outsc,0.81,-3804.18
20,NG,outsc,0.86,-3797.96
21,NG,outsc,0.74,-3901.95
22,NG,outsc,0.90,-3734.86
23,NG,outsc,0.91,-3673.81
24,NG,outsc,0.88,-3809.38
25,NG,outsc,0.88,-3861.09
26,OK,outsc,0.69,-532.48
27,NG,outsc,0.89,-3869.19
28,NG,outsc,0.82,-3878.67
29,NG,outsc,0.90,-3527.06
30,NG,SC,0.61,-3939.07
31,NG,deform,1.00,-3735.65
32,NG,outsc,0.88,-3841.63
33,NG,outsc,0.90,-3881.67
34,NG,outsc,0.89,-3770.42
35,NG,SC,0.62,-3920.65
36,NG,SC,0.79,-3920.37
37,OK,bp,0.43,-470.07
38,NG,outsc,0.85,-3667.79
39,NG,outsc,0.89,-3836.61
40,NG,outsc,0.85,-3721.89
41,NG,outsc,0.88,-3835.66
42,NG,outsc,0.82,-3776.68
43,NG,outsc,0.83,-3827.67
44,NG,SC,0.81,-3860.12
45,NG,outsc,0.88,-3808.48
46,NG,outsc,0.87,-3576.35
47,NG,outsc,0.80,-3912.03
48,OK,bp,0.39,-573.42
49,OK,outsc,0.44,-571.02
50,NG,outsc,0.77,-3853.71
51,NG,outsc,0.81,-3782.68
52,NG,outsc,0.74,-3890.76
53,NG,outsc,0.87,-3843.57
54,NG,outsc,0.88,-3906.64
55,NG,outsc,0.89,-3690.83
56,NG,outsc,0.85,-3784.47
57,NG,outsc,0.89,-3605.78
58,NG,SC,0.83,-3928.55
59,NG,outsc,0.86,-3911.71
60,NG,outsc,0.86,-3879.65
61,NG,outsc,0.88,-3850.43
62,NG,bp,0.85,-3922.48
63,NG,outsc,0.87,-3883.14
64,NG,outsc,0.85,-3776.93
65,NG,SC,0.79,-3851.23
66,NG,outsc,0.83,-3913.27
67,NG,outsc,0.86,-3900.58
68,NG,SC,0.65,-3932.78
69,NG,SC,0.72,-3894.08
70,NG,outsc,0.84,-3828.93
71,NG,outsc,0.88,-3861.68
72,NG,outsc,0.86,-3716.84
73,NG,outsc,0.92,-3812.58
74,NG,outsc,0.90,-3785.15
75,NG,outsc,0.84,-3788.70
76,NG,SC,0.71,-3884.74
77,OK,outsc,0.49,-530.80
78,NG,outsc,0.84,-3880.27
79,NG,outsc,0.83,-3870.56
80,NG,outsc,0.85,-3847.18
81,NG,outsc,0.89,-3868.94
82,NG,outsc,0.79,-3822.15
83,NG,outsc,0.89,-3720.10
84,NG,outsc,0.85,-3781.00
85,NG,outsc,0.82,-3695.38
86,NG,outsc,0.87,-3710.67
87,NG,SC,0.53,-3824.65
88,NG,outsc,0.88,-3918.45
89,NG,outsc,0.90,-3893.77
90,NG,outsc,0.82,-3863.48
91,NG,outsc,0.81,-3832.66
92,NG,SC,0.73,-3899.14
93,NG,outsc,0.89,-3909.36
94,NG,bp,0.82,-3933.06
95,NG,outsc,0.86,-3885.77
96,NG,outsc,0.91,-3875.61
97,NG,outsc,0.79,-3823.60
98,NG,outsc,0.78,-3932.35
99,NG,outsc,0.88,-3812.90
100,NG,outsc,0.82,-3704.94
101,NG,outsc,0.91,-3927.80
102,NG,outsc,0.88,-3891.07
103,OK,outsc,0.49,-529.06
104,NG,outsc,0.89,-3801.74
105,NG,outsc,0.88,-3795.46
106,NG,bp,0.59,-3936.42
107,NG,outsc,0.90,-3817.55
108,NG,outsc,0.90,-3803.10
109,NG,outsc,0.84,-3851.50
110,NG,bp,0.72,-3826.00
111,NG,outsc,0.75,-3575.96
112,NG,outsc,0.88,-3780.90
113,OK,bp,0.30,-574.85
114,OK,SC,0.43,-525.60
115,NG,outsc,0.90,-3876.00
116,NG,outsc,0.92,-3905.27
117,NG,outsc,0.86,-3851.38
118,NG,outsc,0.83,-3868.48
119,NG,outsc,0.84,-3871.25
120,NG,outsc,0.87,-3903.45
121,NG,outsc,0.87,-3794.23
122,NG,outsc,0.88,-3495.68
123,NG,outsc,0.89,-3850.39
124,NG,SC,0.73,3189.83
125,NG,outsc,0.70,-3604.11
126,NG,SC,0.82,-3795.49
127,NG,SC,0.82,-3914.94
128,NG,outsc,0.73,-3896.64
129,NG,outsc,0.88,-3923.72
130,NG,SC,0.86,-3942.01
131,NG,outsc,0.89,-3834.34
132,NG,outsc,0.78,-3902.60
133,NG,outsc,0.90,-3802.57
134,OK,outsc,0.69,-552.94
135,OK,outsc,0.55,-510.63
136,NG,outsc,0.86,-3880.14
137,NG,outsc,0.88,-3773.77
138,NG,outsc,0.88,-3864.51
139,NG,outsc,0.72,-3880.04
140,OK,bp,0.28,-563.97
141,NG,outsc,0.91,-3890.09
142,NG,outsc,0.80,-3868.94
143,NG,outsc,0.88,-3878.15
144,NG,outsc,0.87,-3536.56
145,NG,outsc,0.88,-3672.82
146,NG,outsc,0.86,-3745.43
147,NG,outsc,0.81,-3561.83
148,NG,bp,0.50,-3810.85
149,NG,outsc,0.90,-3797.79
150,NG,outsc,0.86,-3867.41
151,OK,SC,0.36,-568.67
152,NG,SC,0.58,-3933.07
153,NG,outsc,0.87,-3918.88
154,NG,outsc,0.84,-3915.30
155,NG,outsc,0.87,-3820.22
156,NG,outsc,0.81,-3828.56
157,NG,outsc,0.87,-3641.47
158,NG,SC,0.85,-3916.62
159,NG,SC,0.77,-3940.09
160,NG,outsc,0.83,-1813.79
161,NG,SC,0.80,24.95
162,NG,outsc,0.87,209.39
163,NG,outsc,0.80,110.85
164,NG,outsc,0.88,-2.20
165,NG,outsc,0.81,-123.63
166,OK,outsc,0.52,2673.80
167,NG,SC,0.78,-904.37
168,NG,SC,0.84,-1514.19
169,NG,outsc,0.70,-1773.98
170,NG,outsc,0.84,-1969.97
171,OK,outsc,0.29,1220.84
172,NG,outsc,0.88,-2574.39
173,NG,outsc,0.90,-2951.24
174,NG,outsc,0.88,-3610.65
175,NG,outsc,0.89,-3839.06
176,NG,outsc,0.88,-3808.33
177,NG,SC,0.79,-3927.23
178,OK,SC,0.34,-555.99
179,NG,outsc,0.83,-3864.77
180,NG,outsc,0.89,-3788.77
181,NG,outsc,0.88,-3897.01
182,NG,WP,0.72,-3905.10
183,NG,outsc,0.85,-3802.41
184,NG,outsc,0.89,-3898.89
185,NG,outsc,0.92,-3897.70
186,NG,outsc,0.90,-3882.87
187,NG,outsc,0.91,-3908.11
188,NG,outsc,0.89,-3914.83
189,NG,outsc,0.85,-3883.77
190,NG,outsc,0.82,-3838.74
191,NG,outsc,0.89,-3860.36
192,NG,SC,0.73,-3895.05
193,NG,outsc,0.88,-3828.52
194,NG,SC,0.85,-3791.66
195,NG,outsc,0.88,-3901.75
196,NG,SC,0.85,-3701.07
197,NG,outsc,0.93,-3847.75
198,NG,outsc,0.90,-3777.12
199,OK,bp,0.41,-572.97
200,NG,outsc,0.89,-3895.22
201,NG,outsc,0.83,-3836.83
202,NG,SC,0.85,-3912.71
203,OK,OK,0.00,-573.13
204,NG,outsc,0.89,-3792.84
205,NG,outsc,0.87,-3926.49
206,NG,outsc,0.80,-3938.31
207,NG,outsc,0.88,-3902.68
208,NG,bp,0.78,-3918.83
209,NG,outsc,0.88,-3834.34
210,NG,SC,0.79,-3766.63
211,NG,outsc,0.84,-3710.36
212,NG,SC,0.84,-3934.99
213,NG,outsc,0.75,-3885.83
214,NG,outsc,0.88,-3901.64
215,NG,outsc,0.90,-3885.84
216,NG,outsc,0.88,-3848.10
217,NG,outsc,0.81,-3697.95
218,NG,SC,0.73,-3846.77
219,NG,outsc,0.76,-3884.83
220,NG,outsc,0.79,-3921.44
221,NG,outsc,0.84,-3732.00
222,OK,bp,0.33,-564.44
223,NG,outsc,0.88,-3935.96
224,OK,bp,0.43,-560.31
225,NG,outsc,0.92,-3872.86
226,NG,outsc,0.86,-3885.41
227,NG,outsc,0.80,-3861.03
228,NG,outsc,0.79,-3879.13
229,NG,SC,0.72,-3907.91
230,NG,SC,0.67,-3943.12
231,NG,outsc,0.91,-3876.87
232,NG,outsc,0.81,-3693.82
233,NG,outsc,0.89,-3788.81
234,NG,outsc,0.89,-3919.04
235,NG,outsc,0.76,-3910.78
236,NG,outsc,0.90,-3747.60
237,OK,OK,0.00,-511.53
238,NG,outsc,0.84,-3857.18
239,NG,outsc,0.88,-3845.96
240,NG,outsc,0.87,-3611.06
241,NG,outsc,0.84,-3874.24
242,NG,outsc,0.87,-3793.26
243,NG,outsc,0.88,-3820.64
244,NG,outsc,0.84,-3896.60
245,NG,outsc,0.87,-3765.32
246,NG,outsc,0.84,-3867.48
247,NG,outsc,0.75,-1593.32
248,OK,OK,0.00,-526.23
249,NG,SC,0.53,-3906.11
250,NG,outsc,0.73,-3611.42
251,NG,outsc,0.82,-3902.63
252,NG,SC,0.83,-3929.19
253,NG,bp,0.77,-3939.15
254,NG,outsc,0.82,-3863.57
255,NG,outsc,0.86,-3935.78
256,NG,outsc,0.90,-3539.04
257,NG,outsc,0.87,-3477.66
258,NG,outsc,0.84,-3860.00
259,NG,outsc,0.87,-3683.18
260,NG,outsc,0.86,-3796.47
261,NG,outsc,0.71,-3811.11
262,NG,outsc,0.88,-3761.09
263,NG,outsc,0.72,-3710.09
264,NG,outsc,0.89,-3888.39
265,OK,outsc,0.69,-567.77
266,NG,SC,0.58,-3925.69
267,NG,SC,0.55,-3919.90
268,NG,outsc,0.84,-3847.13
269,NG,outsc,0.79,-3824.72
270,NG,bp,0.62,-3938.41
271,NG,outsc,0.86,-3430.33
272,NG,outsc,0.90,-3588.05
273,NG,outsc,0.86,-3705.76
274,OK,OK,0.00,-565.12
275,NG,outsc,0.84,-3899.94
276,OK,outsc,0.35,-573.67
277,NG,outsc,0.84,-3878.69
278,NG,outsc,0.81,-3877.08
279,NG,outsc,0.79,-3925.24
280,NG,outsc,0.83,-3906.64
281,NG,outsc,0.89,-3897.18
282,NG,outsc,0.87,-1024.86
283,NG,outsc,0.85,-3825.80
284,NG,outsc,0.80,-3903.57
285,NG,outsc,0.84,-3912.30
286,NG,outsc,0.87,-3912.49
287,NG,outsc,0.83,-3864.06
288,NG,outsc,0.88,-3815.21
289,OK,WP,0.48,-570.05
290,NG,outsc,0.79,-3886.63
291,NG,SC,0.63,-3931.58
292,NG,outsc,0.85,-3564.54
293,NG,outsc,0.89,-2796.19
294,NG,SC,0.80,-3912.75
295,OK,outsc,0.55,-534.11
296,NG,outsc,0.88,-3715.27
297,NG,outsc,0.87,-3944.91
298,NG,outsc,0.86,-3936.12
299,NG,outsc,0.78,-3913.93
300,NG,outsc,0.90,-3899.16
301,NG,outsc,0.74,-3882.73
302,NG,outsc,0.89,-3833.87
303,NG,outsc,0.90,-3724.96
304,NG,outsc,0.88,-3882.53
305,NG,outsc,0.87,-3790.22
306,NG,outsc,0.79,-3944.32
307,NG,outsc,0.83,-2193.62
308,NG,outsc,0.90,11486.62
309,NG,SC,0.57,219.48

==== 總體統計 ====
總樣品數,310
OK數量,26
NG數量,284
不良率(%),91.61

