==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,95,9,dirty,7
1,95,9,wr,2
2,101,3,bp,1
2,101,3,dirty,2
3,99,5,outsc,5
4,97,7,outsc,7

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,dirty,0.27,3515.52
1,OK,outsc,0.47,2339.99
2,NG,dirty,0.64,-3922.81
3,OK,OK,0.00,-593.63
4,OK,outsc,0.68,-553.88
5,OK,outsc,0.84,-586.58
6,OK,OK,0.00,-559.86
7,OK,dirty,0.37,-575.44
8,OK,outsc,0.30,-563.75
9,OK,outsc,0.38,-547.53
10,OK,OK,0.00,-561.72
11,NG,dirty,0.84,-3898.56
12,OK,outsc,0.57,-562.23
13,NG,dirty,0.77,-3904.29
14,NG,outsc,0.89,-3810.65
15,NG,wr,0.58,-3910.61
16,OK,outsc,0.76,-584.44
17,OK,outsc,0.71,-558.77
18,OK,outsc,0.65,-537.35
19,NG,dirty,0.73,-3917.94
20,OK,bp,0.38,-567.40
21,OK,outsc,0.57,-535.89
22,OK,outsc,0.43,-556.36
23,OK,OK,0.00,-323.39
24,OK,OK,0.00,-503.59
25,OK,outsc,0.68,-587.47
26,OK,outsc,0.79,-567.95
27,OK,outsc,0.44,-534.41
28,OK,OK,0.00,-430.73
29,OK,OK,0.00,-587.63
30,NG,dirty,0.78,-3898.58
31,OK,outsc,0.57,-562.94
32,OK,outsc,0.66,-540.98
33,OK,OK,0.00,-548.12
34,OK,outsc,0.66,-555.23
35,NG,outsc,0.92,-3864.45
36,OK,outsc,0.76,-527.45
37,OK,outsc,0.85,-523.21
38,NG,outsc,0.91,-3626.43
39,OK,bp,0.26,-587.15
40,OK,outsc,0.58,-553.28
41,OK,dirty,0.43,-579.78
42,NG,dirty,0.52,-3890.84
43,OK,outsc,0.74,-530.47
44,NG,outsc,0.86,-3825.10
45,NG,outsc,0.89,-3908.82
46,NG,dirty,0.71,-3903.44
47,OK,outsc,0.56,-574.16
48,OK,dirty,0.45,-555.05
49,NG,outsc,0.90,-3911.80
50,OK,outsc,0.68,-550.51
51,OK,OK,0.00,-589.51
52,OK,outsc,0.73,-566.31
53,OK,outsc,0.54,-567.33
54,OK,outsc,0.85,-549.51
55,OK,OK,0.00,-559.05
56,OK,outsc,0.72,-547.16
57,OK,OK,0.00,-540.09
58,OK,outsc,0.42,-347.60
59,OK,OK,0.00,-592.17
60,OK,outsc,0.41,-591.02
61,OK,outsc,0.77,-560.63
62,OK,outsc,0.51,-549.90
63,OK,outsc,0.51,-580.41
64,OK,outsc,0.82,-567.31
65,OK,outsc,0.71,-554.43
66,OK,OK,0.00,-1205.59
67,NG,outsc,0.87,-3929.68
68,OK,bp,0.47,-1227.89
69,OK,outsc,0.85,-1158.85
70,OK,outsc,0.85,-1158.93
71,OK,dirty,0.43,-1005.98
72,OK,outsc,0.67,-1217.51
73,NG,wr,0.57,-3932.66
74,OK,outsc,0.80,-1204.48
75,NG,outsc,0.93,-3873.29
76,NG,dirty,0.80,-3931.12
77,OK,OK,0.00,-1241.70
78,OK,OK,0.00,-1240.65
79,NG,outsc,0.89,-3898.90
80,OK,outsc,0.77,-1209.64
81,OK,outsc,0.63,-1161.41
82,OK,dirty,0.48,-1138.93
83,OK,dirty,0.28,-1235.64
84,NG,outsc,0.89,-3903.05
85,OK,outsc,0.41,-1225.73
86,OK,outsc,0.39,-1193.89
87,OK,outsc,0.62,-1210.83
88,NG,outsc,0.90,-3915.08
89,OK,outsc,0.37,-878.73
90,OK,outsc,0.67,-1015.06
91,OK,outsc,0.63,-1217.81
92,OK,OK,0.00,-1230.67
93,OK,outsc,0.47,-1239.62
94,OK,outsc,0.39,-1206.21
95,OK,outsc,0.75,-1189.13
96,NG,bp,0.58,-3927.86
97,OK,outsc,0.47,-1210.38
98,OK,outsc,0.64,-1187.88
99,OK,outsc,0.31,-1206.98
100,OK,wr,0.28,2876.86
101,OK,OK,0.00,-1240.73
102,OK,outsc,0.34,-1221.07
103,OK,dirty,0.33,-1236.82

==== 總體統計 ====
總樣品數,104
OK數量,82
NG數量,22
不良率(%),21.15

==== 瑕疵統計 ====
瑕疵類型,數量,比例
outsc,11,0.50
dirty,8,0.36
wr,2,0.09
bp,1,0.05

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,5%分位數,25%分位數,中位數,75%分位數,95%分位數,99%分位數,推薦閾值
dirty,16,0.27,0.84,0.55,0.27,0.43,0.50,0.77,0.84,0.84,0.49
outsc,64,0.30,0.93,0.66,0.37,0.51,0.67,0.84,0.90,0.93,0.85
OK,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wr,3,0.28,0.58,0.48,0.28,0.28,0.57,0.58,0.58,0.58,0.29
bp,4,0.26,0.58,0.42,0.26,0.26,0.43,0.58,0.58,0.58,0.48

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
outsc,0.00,1.00,1.00,0.17,0.29
