==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,OK,-,-
1,OK,-,-
2,OK,-,-
3,OK,-,-
4,OK,-,-
5,OK,-,-
6,OK,-,-
7,OK,-,-
8,OK,-,-
9,OK,-,-
10,OK,-,-
11,OK,-,-
12,OK,-,-
13,OK,-,-
14,OK,-,-
15,OK,-,-
16,OK,-,-
17,NG,dirty,0.55
18,OK,-,-
19,OK,-,-
20,OK,-,-
21,OK,-,-
22,OK,-,-
23,OK,-,-
24,OK,-,-
25,OK,-,-
26,OK,-,-
27,OK,-,-
28,OK,-,-
29,OK,-,-
30,OK,-,-
31,OK,-,-
32,OK,-,-
33,OK,-,-
34,OK,-,-
35,OK,-,-
36,OK,-,-
37,OK,-,-
38,OK,-,-
39,OK,-,-
40,NG,outsc,0.54
41,OK,-,-
42,OK,-,-
43,OK,-,-
44,OK,-,-
45,OK,-,-
46,OK,-,-
47,OK,-,-
48,OK,-,-
49,OK,-,-

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
dirty,1,0.55,0.55,0.55,0.55,0.55,0.55,0.00
outsc,1,0.54,0.54,0.54,0.54,0.54,0.54,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
dirty,0.00,1,0,0,0,1.00,1.00,0.00
outsc,0.00,1,0,0,0,1.00,1.00,0.00
