==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,bp,0.84
1,NG,bp,0.83
2,NG,dirty,0.84
3,OK,-,-
4,NG,bp,0.79
5,OK,-,-
6,NG,outsc,0.55
7,OK,-,-
8,NG,bp,0.82
9,NG,dirty,0.85
10,NG,wr,0.68
11,OK,-,-
12,NG,dirty,0.80
13,NG,bp,0.65
14,NG,dirty,0.68
15,OK,-,-
16,OK,-,-
17,OK,-,-
18,NG,dirty,0.83
19,NG,dirty,0.83
20,NG,dirty,0.80
21,NG,dirty,0.76
22,NG,outsc,0.57
23,NG,bp,0.83
24,OK,-,-
25,NG,bp,0.73
26,NG,bp,0.84
27,NG,outsc,0.76
28,NG,dirty,0.82
29,NG,outsc,0.81
30,NG,outsc,0.88
31,OK,-,-
32,NG,outsc,0.68
33,NG,dirty,0.71
34,NG,bp,0.76
35,OK,-,-
36,OK,-,-
37,NG,outsc,0.65
38,NG,bp,0.51
39,NG,outsc,0.88
40,OK,-,-
41,NG,dirty,0.80
42,NG,outsc,0.83
43,OK,-,-
44,NG,dirty,0.78
45,NG,dirty,0.79
46,NG,dirty,0.84
47,NG,outsc,0.73
48,NG,dirty,0.71
49,OK,-,-
50,NG,dirty,0.68
51,NG,dirty,0.74
52,NG,bp,0.88
53,OK,-,-
54,NG,dirty,0.88
55,NG,outsc,0.88
56,OK,-,-
57,OK,-,-
58,OK,-,-
59,OK,-,-
60,OK,-,-
61,NG,dirty,0.58
62,OK,-,-
63,NG,outsc,0.50
64,OK,-,-
65,NG,dirty,0.75
66,NG,dirty,0.88
67,NG,dirty,0.88
68,NG,bp,0.84
69,NG,outsc,0.79
70,NG,dirty,0.58
71,OK,-,-
72,OK,-,-
73,NG,bp,0.58
74,NG,dirty,0.81
75,NG,outsc,0.53
76,NG,dirty,0.59
77,OK,-,-
78,NG,wr,0.86
79,NG,outsc,0.77
80,OK,-,-
81,NG,outsc,0.89
82,NG,bp,0.84
83,NG,dirty,0.51
84,NG,dirty,0.73
85,NG,dirty,0.68
86,NG,dirty,0.79
87,NG,bp,0.83
88,OK,-,-
89,NG,bp,0.75
90,OK,-,-
91,NG,outsc,0.89
92,OK,-,-
93,NG,dirty,0.86
94,NG,outsc,0.76
95,NG,dirty,0.71
96,OK,-,-
97,NG,dirty,0.83
98,NG,outsc,0.88
99,NG,dirty,0.80
100,NG,bp,0.60
101,NG,dirty,0.55
102,OK,-,-
103,NG,bp,0.61
104,NG,bp,0.83
105,NG,dirty,0.66
106,NG,dirty,0.90
107,NG,outsc,0.85
108,NG,dirty,0.88
109,NG,dirty,0.86
110,NG,dirty,0.73
111,NG,dirty,0.81
112,NG,dirty,0.70
113,OK,-,-
114,OK,-,-
115,OK,-,-
116,OK,-,-
117,NG,bp,0.51

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
bp,20,0.51,0.88,0.74,0.81,0.88,0.88,0.00
dirty,41,0.51,0.90,0.76,0.79,0.88,0.90,0.00
outsc,20,0.50,0.89,0.75,0.78,0.89,0.89,0.00
wr,2,0.68,0.86,0.77,0.77,0.86,0.86,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數
bp,0.00,1.00,0.00,1.00,1.00
bp,0.05,1.00,0.00,1.00,1.00
bp,0.10,1.00,0.00,1.00,1.00
bp,0.15,1.00,0.00,1.00,1.00
bp,0.20,1.00,0.00,1.00,1.00
bp,0.25,1.00,0.00,1.00,1.00
bp,0.30,1.00,0.00,1.00,1.00
bp,0.35,1.00,0.00,1.00,1.00
bp,0.40,1.00,0.00,1.00,1.00
bp,0.45,1.00,0.00,1.00,1.00
bp,0.50,1.00,0.00,1.00,1.00
bp,0.55,0.90,0.00,0.90,0.95
bp,0.60,0.80,0.00,0.80,0.89
bp,0.65,0.70,0.00,0.70,0.82
bp,0.70,0.70,0.00,0.70,0.82
bp,0.75,0.60,0.00,0.60,0.75
bp,0.80,0.50,0.00,0.50,0.67
bp,0.85,0.05,0.00,0.05,0.10
bp,0.90,0.00,0.00,0.00,0.00
bp,0.95,0.00,0.00,0.00,0.00
dirty,0.00,1.00,0.00,1.00,1.00
dirty,0.05,1.00,0.00,1.00,1.00
dirty,0.10,1.00,0.00,1.00,1.00
dirty,0.15,1.00,0.00,1.00,1.00
dirty,0.20,1.00,0.00,1.00,1.00
dirty,0.25,1.00,0.00,1.00,1.00
dirty,0.30,1.00,0.00,1.00,1.00
dirty,0.35,1.00,0.00,1.00,1.00
dirty,0.40,1.00,0.00,1.00,1.00
dirty,0.45,1.00,0.00,1.00,1.00
dirty,0.50,1.00,0.00,1.00,1.00
dirty,0.55,0.98,0.00,0.98,0.99
dirty,0.60,0.88,0.00,0.88,0.94
dirty,0.65,0.88,0.00,0.88,0.94
dirty,0.70,0.76,0.00,0.76,0.86
dirty,0.75,0.59,0.00,0.59,0.74
dirty,0.80,0.46,0.00,0.46,0.63
dirty,0.85,0.17,0.00,0.17,0.29
dirty,0.90,0.02,0.00,0.02,0.05
dirty,0.95,0.00,0.00,0.00,0.00
outsc,0.00,1.00,0.00,1.00,1.00
outsc,0.05,1.00,0.00,1.00,1.00
outsc,0.10,1.00,0.00,1.00,1.00
outsc,0.15,1.00,0.00,1.00,1.00
outsc,0.20,1.00,0.00,1.00,1.00
outsc,0.25,1.00,0.00,1.00,1.00
outsc,0.30,1.00,0.00,1.00,1.00
outsc,0.35,1.00,0.00,1.00,1.00
outsc,0.40,1.00,0.00,1.00,1.00
outsc,0.45,1.00,0.00,1.00,1.00
outsc,0.50,1.00,0.00,1.00,1.00
outsc,0.55,0.85,0.00,0.85,0.92
outsc,0.60,0.80,0.00,0.80,0.89
outsc,0.65,0.80,0.00,0.80,0.89
outsc,0.70,0.70,0.00,0.70,0.82
outsc,0.75,0.65,0.00,0.65,0.79
outsc,0.80,0.45,0.00,0.45,0.62
outsc,0.85,0.35,0.00,0.35,0.52
outsc,0.90,0.00,0.00,0.00,0.00
outsc,0.95,0.00,0.00,0.00,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
bp,0.00,20,0,0,0,1.00,1.00,0.00
dirty,0.00,41,0,0,0,1.00,1.00,0.00
outsc,0.00,20,0,0,0,1.00,1.00,0.00
wr,0.00,2,0,0,0,1.00,1.00,0.00
