==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
outsc,0.80,0.48,0.00,0.66,0.65
outsc,0.85,0.38,0.00,0.59,0.55
outsc,0.90,0.00,0.00,0.34,0.00
outsc,0.95,0.00,0.00,0.34,0.00

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
bp,0.48,16,0,6,0,1.00,1.00,1.00
dirty,0.49,40,0,9,0,1.00,1.00,1.00
OK,0.00,0,12,0,0,0.00,0.00,0.00
outsc,0.50,21,0,11,0,1.00,1.00,1.00
wr,0.43,2,0,1,0,1.00,1.00,1.00
