==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,95,34,bp,5
1,95,34,cf,13
1,95,34,SC,15
1,95,34,WP,1
2,94,35,bp,25
2,94,35,SC,6
2,94,35,WP,1
2,94,35,deform,3
3,123,6,outsc,6
4,66,63,outsc,63

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,NG,bp,0.69,-3912.23
1,NG,SC,0.56,-3935.77
2,OK,OK,0.00,-586.91
3,NG,outsc,0.57,-3906.19
4,NG,SC,0.72,-3944.62
5,OK,bp,0.45,-588.99
6,NG,SC,0.61,-3949.71
7,NG,outsc,0.77,-3918.36
8,OK,OK,0.00,-554.31
9,NG,outsc,0.63,-3902.56
10,NG,outsc,0.76,-3889.38
11,NG,cf,0.64,-3858.53
12,NG,SC,0.75,-3821.51
13,OK,SC,0.37,-583.66
14,NG,outsc,0.79,-3861.50
15,OK,SC,0.38,-587.17
16,NG,outsc,0.61,-3901.73
17,NG,outsc,0.89,-3663.29
18,NG,outsc,0.83,-3918.90
19,NG,outsc,0.62,-1852.91
20,NG,outsc,0.78,-985.96
21,NG,outsc,0.66,-3849.05
22,NG,outsc,0.75,-3683.70
23,OK,bp,0.26,-579.26
24,NG,outsc,0.86,-3923.78
25,OK,outsc,0.45,-496.35
26,NG,SC,0.84,-3958.30
27,NG,outsc,0.90,-3939.71
28,NG,outsc,0.73,-3955.45
29,NG,bp,0.70,-3940.64
30,NG,outsc,0.61,-3922.15
31,NG,outsc,0.73,-3888.51
32,NG,outsc,0.62,-3947.55
33,OK,OK,0.00,-586.65
34,NG,outsc,0.87,-3871.15
35,NG,cf,0.52,-3779.02
36,NG,outsc,0.67,-3922.25
37,NG,outsc,0.82,-3938.69
38,NG,outsc,0.65,-3648.17
39,OK,OK,0.00,-583.41
40,NG,outsc,0.58,-3943.92
41,NG,outsc,0.70,-3932.02
42,OK,outsc,0.32,-531.60
43,OK,OK,0.00,-559.42
44,NG,outsc,0.60,-3880.34
45,NG,outsc,0.86,-3886.53
46,NG,outsc,0.72,-3885.73
47,OK,bp,0.39,-552.33
48,OK,OK,0.00,-550.06
49,OK,bp,0.38,-354.94
50,NG,WP,0.52,-3960.67
51,NG,bp,0.65,-3958.75
52,NG,SC,0.64,-3951.45
53,NG,bp,0.72,-3783.13
54,NG,outsc,0.78,-3933.52
55,NG,outsc,0.68,-3947.37
56,NG,bp,0.57,-3919.57
57,NG,deform,1.00,-3886.98
58,OK,outsc,0.33,-565.79
59,OK,outsc,0.46,-536.52
60,NG,cf,0.63,-3926.97
61,OK,WP,0.37,-508.55
62,OK,SC,0.29,-551.96
63,NG,outsc,0.80,-3804.83
64,NG,cf,0.83,-3961.56
65,NG,bp,0.64,-3922.68
66,NG,bp,0.63,-3924.39
67,NG,SC,0.74,-3669.02
68,NG,outsc,0.76,-3896.33
69,OK,OK,0.00,-594.34
70,OK,outsc,0.29,-569.94
71,NG,bp,0.65,-3940.54
72,NG,outsc,0.87,-3850.67
73,NG,outsc,0.52,-3636.28
74,OK,OK,0.00,-572.88
75,NG,outsc,0.81,-3917.54
76,NG,outsc,0.73,-3711.56
77,NG,bp,0.58,-3960.22
78,NG,SC,0.73,-3947.07
79,NG,outsc,0.88,-3895.29
80,NG,outsc,0.87,-3895.53
81,NG,outsc,0.83,-3900.86
82,OK,bp,0.43,-555.62
83,NG,outsc,0.65,-3896.36
84,OK,SC,0.44,-549.54
85,NG,outsc,0.81,-3748.72
86,NG,SC,0.61,-3946.43
87,NG,outsc,0.66,-3869.87
88,NG,deform,1.00,-3943.79
89,NG,outsc,0.64,-3944.28
90,NG,bp,0.64,-3947.68
91,NG,bp,0.78,-3925.13
92,NG,outsc,0.79,-3906.35
93,OK,SC,0.42,-364.69
94,OK,OK,0.00,-575.27
95,NG,outsc,0.77,-3894.41
96,NG,bp,0.73,-3950.30
97,NG,SC,0.63,-3926.98
98,NG,outsc,0.58,-3878.33
99,OK,OK,0.00,3532.68
100,NG,outsc,0.72,-501.24
101,OK,bp,0.34,1411.99
102,NG,SC,0.59,-2546.88
103,NG,bp,0.69,-3289.92
104,NG,outsc,0.70,-3759.55
105,NG,outsc,0.54,-3900.63
106,NG,outsc,0.81,-3822.17
107,NG,outsc,0.74,-3902.60
108,NG,outsc,0.57,-3887.95
109,OK,SC,0.41,-538.14
110,NG,SC,0.73,-3876.10
111,NG,outsc,0.87,-3838.48
112,OK,bp,0.47,-558.26
113,OK,bp,0.44,-546.48
114,NG,cf,0.77,-3911.13
115,NG,SC,0.83,-3949.53
116,OK,outsc,0.32,-556.54
