==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,80,554,SC,520
1,80,554,INP,6
1,80,554,deform,28
2,198,436,SC,419
2,198,436,INP,1
2,198,436,deform,16
3,582,52,OTP,52
4,595,39,OTP,39

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,SC,0.51,-596.93
1,OK,SC,0.79,1176.94
2,OK,SC,0.75,65430.78
3,OK,SC,0.80,3504.82
4,OK,deform,1.00,3077.52
5,OK,deform,1.00,2685.86
6,OK,SC,0.76,2238.77
7,OK,SC,0.74,1791.40
8,OK,SC,0.76,1183.52
9,OK,SC,0.89,925.54
10,OK,SC,0.88,691.01
11,OK,OTP,0.71,264.13
12,OK,SC,0.66,40.36
13,OK,SC,0.84,-187.67
14,OK,SC,0.64,-536.94
15,OK,SC,0.84,-585.48
16,OK,SC,0.78,-604.49
17,OK,SC,0.88,-602.06
18,OK,SC,0.82,-538.07
19,OK,SC,0.65,-531.95
20,OK,SC,0.89,-530.90
21,OK,SC,0.85,-369.99
22,OK,SC,0.82,-611.53
23,OK,SC,0.69,-572.14
24,OK,deform,1.00,-590.34
25,OK,SC,0.84,-606.48
26,OK,SC,0.82,-611.14
27,OK,SC,0.90,-603.25
28,OK,SC,0.84,-596.20
29,OK,SC,0.79,-591.65
30,OK,SC,0.82,-589.65
31,OK,SC,0.84,-581.38
32,OK,SC,0.88,-610.45
33,OK,SC,0.84,-573.65
34,OK,SC,0.48,-610.93
35,OK,SC,0.81,-604.83
36,OK,SC,0.82,-592.94
37,OK,SC,0.90,-603.54
38,OK,SC,0.84,-599.12
39,OK,deform,1.00,-578.22
40,OK,deform,1.00,-582.16
41,OK,SC,0.79,-581.43
42,OK,SC,0.82,-609.94
43,OK,SC,0.77,-605.28
44,OK,SC,0.79,-600.02
45,OK,SC,0.83,-607.50
46,OK,SC,0.77,-607.24
47,OK,SC,0.84,-605.91
48,OK,SC,0.56,-594.66
49,OK,SC,0.78,-603.44
50,OK,SC,0.67,-545.35
51,OK,SC,0.89,-523.28
52,OK,SC,0.88,-598.84
53,OK,SC,0.84,-592.13
54,OK,SC,0.77,-463.50
55,OK,SC,0.75,-611.84
56,OK,SC,0.56,-612.94
57,OK,SC,0.60,-547.19
58,OK,SC,0.83,-602.05
59,OK,SC,0.82,-601.76
60,OK,SC,0.81,-595.21
61,OK,SC,0.90,-577.30
62,OK,OTP,0.77,-1265.44
63,OK,SC,0.78,-1259.01
64,OK,SC,0.87,-1258.15
65,OK,SC,0.86,-984.83
66,OK,SC,0.74,-1278.41
67,OK,SC,0.83,-1274.19
68,OK,SC,0.79,-1283.40
69,OK,SC,0.69,-1301.64
70,OK,SC,0.54,-1295.16
71,OK,SC,0.83,-1271.65
72,OK,SC,0.87,-1294.45
73,OK,SC,0.62,-1280.51
74,OK,SC,0.47,-1259.38
75,OK,SC,0.68,-1205.11
76,OK,SC,0.78,-1291.12
77,OK,SC,0.80,-1244.68
78,OK,SC,0.81,-1296.38
79,OK,SC,0.80,-1297.92
80,OK,SC,0.81,-1262.62
81,OK,deform,1.00,-1254.58
82,OK,deform,1.00,-1290.78
83,OK,SC,0.76,-1273.95
84,OK,SC,0.81,-1292.08
85,OK,SC,0.88,-1272.35
86,OK,SC,0.87,-1285.91
87,OK,SC,0.47,-1209.51
88,OK,SC,0.76,-1286.29
89,OK,SC,0.84,-1289.86
90,OK,SC,0.63,-1271.31
91,OK,SC,0.71,-1282.92
92,OK,SC,0.83,-1262.27
93,OK,SC,0.78,-1294.48
94,OK,OTP,0.84,-1216.58
95,OK,SC,0.83,-1285.56
96,OK,SC,0.82,-1232.35
97,OK,SC,0.81,-1032.13
98,OK,SC,0.73,-1278.77
99,OK,SC,0.77,-1304.43
100,OK,SC,0.80,-1306.27
101,OK,SC,0.84,-1281.52
102,OK,SC,0.83,-1296.21
103,OK,SC,0.76,-1268.37
104,OK,SC,0.82,-1270.76
105,OK,SC,0.68,-1120.46
106,OK,deform,1.00,-1292.91
107,OK,deform,1.00,-1280.97
108,OK,SC,0.76,-1299.69
109,OK,SC,0.88,-1303.37
110,OK,SC,0.87,-1276.93
111,OK,SC,0.83,-1293.97
112,OK,SC,0.84,-608.53
113,OK,SC,0.80,-605.12
114,OK,SC,0.84,-598.44
115,OK,SC,0.79,-582.16
116,OK,deform,1.00,-598.05
117,OK,SC,0.82,-585.10
118,OK,SC,0.85,-352.20
119,OK,SC,0.84,-533.64
120,OK,SC,0.67,-611.41
121,OK,SC,0.74,-586.64
122,OK,SC,0.82,-610.32
123,OK,SC,0.80,-605.69
124,OK,SC,0.85,-607.26
125,OK,SC,0.86,-606.18
126,OK,SC,0.76,-604.92
127,OK,SC,0.83,-598.22
128,OK,SC,0.74,-580.81
