==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,3,9,SC,4
1,3,9,INP,5
2,4,8,SC,4
2,4,8,INP,4
3,7,5,OTP,5
4,12,0,無,0

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
0,NG,SC,0.86
1,NG,OTP,0.76
2,NG,SC,0.73
3,NG,SC,0.89
4,NG,SC,0.84
5,OK,-,-
6,NG,INP,0.90
7,NG,INP,0.74
8,NG,INP,0.91
9,NG,INP,0.78
10,NG,INP,0.82
11,NG,INP,0.61

==== 總體統計 ====
總樣品數,12
OK數量,1
NG數量,11
不良率(%),91.67

==== 瑕疵統計 ====
瑕疵類型,數量,比例
INP,6,0.55
SC,4,0.36
OTP,1,0.09
