==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量
1,105,6,bp,1
1,105,6,dirty,5
2,99,12,bp,6
2,99,12,dirty,6
3,107,4,outsc,4
4,109,2,outsc,2

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數,超時
0,OK,dirty,0.35,-567.09
1,NG,bp,0.53,-3910.38
2,OK,OK,0.00,-592.22
3,OK,outsc,0.42,-582.25
4,NG,outsc,0.82,-3916.92
5,OK,bp,0.40,-559.80
6,OK,dirty,0.51,-582.03
7,OK,OK,0.00,-586.19
8,OK,dirty,0.34,-526.69
9,OK,outsc,0.67,-545.89
10,OK,outsc,0.47,-572.13
11,OK,bp,0.48,-564.08
12,NG,outsc,0.76,-3843.91
13,OK,outsc,0.45,-563.55
14,OK,dirty,0.62,-569.89
15,OK,OK,0.00,-571.75
16,OK,outsc,0.49,-360.27
17,OK,dirty,0.39,-589.46
18,OK,bp,0.40,-590.37
19,NG,dirty,0.66,-3905.86
20,NG,outsc,0.84,-3919.08
21,OK,OK,0.00,-560.19
22,OK,outsc,0.64,-488.47
23,NG,dirty,0.70,-3873.16
24,OK,OK,0.00,-579.50
25,OK,dirty,0.63,-590.00
26,OK,bp,0.31,-593.75
27,OK,outsc,0.45,-508.58
28,NG,dirty,0.81,-3917.91
29,OK,OK,0.00,-592.75
30,OK,outsc,0.66,-558.66
31,OK,dirty,0.25,-587.82
32,OK,outsc,0.53,-585.77
33,OK,OK,0.00,-571.21
34,OK,outsc,0.37,-549.28
35,OK,outsc,0.36,-548.84
36,OK,dirty,0.33,-495.76
37,NG,dirty,0.72,-3920.16
38,OK,OK,0.00,-553.78
39,OK,dirty,0.35,-285.63
40,OK,bp,0.37,-556.15
41,OK,bp,0.33,-588.11
42,NG,bp,0.56,-3917.25
43,OK,dirty,0.31,-586.63
44,OK,bp,0.35,-589.35
45,OK,dirty,0.31,-591.22
46,NG,bp,0.51,-3939.82
47,OK,OK,0.00,-579.08
48,OK,OK,0.00,-584.63
49,OK,wr,0.42,-594.20
50,OK,dirty,0.26,-576.13
51,OK,dirty,0.44,-583.74
52,OK,dirty,0.26,-585.11
53,OK,dirty,0.40,-239.94
54,NG,dirty,0.72,-3939.47
55,OK,dirty,0.27,-565.80
56,OK,dirty,0.43,-588.44
57,OK,bp,0.26,-585.69
58,OK,dirty,0.51,1487.42
59,NG,dirty,0.70,-2169.26
60,OK,outsc,0.26,280.82
61,OK,outsc,0.39,164.49
62,OK,dirty,0.50,-223.00
63,OK,dirty,0.63,1532.13
64,OK,bp,0.26,1464.77
65,OK,dirty,0.41,840.66
66,OK,OK,0.00,533.64
67,OK,dirty,0.60,-243.15
68,OK,dirty,0.48,-556.82
69,OK,dirty,0.60,-1000.46
70,OK,outsc,0.56,-1165.32
71,NG,outsc,0.84,-3910.98
72,NG,bp,0.53,-3865.49
73,OK,bp,0.36,-1230.18
74,OK,bp,0.34,-1218.55
75,OK,OK,0.00,-1230.67
76,OK,dirty,0.41,-1226.43
77,NG,dirty,0.73,-3938.56
78,NG,dirty,0.72,-3928.86
79,OK,outsc,0.43,-1211.68
80,NG,dirty,0.67,-3936.92
81,OK,dirty,0.25,-1241.30
82,OK,dirty,0.61,-1240.65
83,OK,dirty,0.43,-1229.64
84,OK,dirty,0.31,-1235.46
85,OK,OK,0.00,-1202.49
86,OK,OK,0.00,-1179.37
87,OK,dirty,0.56,-1231.32
88,NG,dirty,0.82,-3906.29
