==== 站點統計 ====
站點,OK數量,NG數量,瑕疵類型,瑕疵數量

==== 樣品統計 ====
樣品ID,結果,瑕疵類型,瑕疵分數
67,NG,outsc,0.79
68,OK,-,-
69,OK,-,-
70,NG,dirty,0.73
71,OK,-,-
72,OK,-,-
73,OK,-,-
74,OK,-,-
75,OK,-,-
76,NG,outsc,0.60
77,OK,-,-
78,OK,-,-
79,NG,dirty,0.65
80,NG,outsc,0.58
81,OK,-,-
82,OK,-,-
83,NG,outsc,0.80
84,OK,-,-
85,OK,-,-
86,NG,dirty,0.78
87,OK,-,-
88,OK,-,-
89,NG,bp,0.70

==== 總體統計 ====

==== 分數分布分析 ====
瑕疵類型,樣本數量,最小值,最大值,平均值,中位數,95%分位數,99%分位數,推薦閾值
outsc,4,0.58,0.80,0.69,0.70,0.80,0.80,0.00
dirty,3,0.65,0.78,0.72,0.73,0.78,0.78,0.00
bp,1,0.70,0.70,0.70,0.70,0.70,0.70,0.00

==== ROC曲線數據 ====
瑕疵類型,閾值,真陽性率,假陽性率,準確率,F1分數

==== 混淆矩陣（使用推薦閾值）====
瑕疵類型,閾值,真陽性(TP),假陽性(FP),真陰性(TN),假陰性(FN),準確率,靈敏度,特異度
outsc,0.00,4,0,0,0,1.00,1.00,0.00
dirty,0.00,3,0,0,0,1.00,1.00,0.00
bp,0.00,1,0,0,0,1.00,1.00,0.00
